,LSOA21 code,IMD score,IMD decile
15790,E01016624,2.163,10
29335,E01030898,2.165,10
29218,E01030779,2.176,10
22264,E01023451,2.186,10
17644,E01018607,2.187,10
16878,E01017786,2.198,10
29704,E01031287,2.201,10
12699,E01013371,2.201,10
24512,E01025814,2.201,10
13687,E01014415,2.202,10
26956,E01028393,2.203,10
28832,E01030386,2.205,10
30518,E01032155,2.207,10
22650,E01023853,2.208,10
22712,E01023919,2.213,10
22519,E01023716,2.214,10
22499,E01023695,2.216,10
8131,E01008546,2.223,10
12385,E01013042,2.225,10
19657,E01020704,2.228,10
24499,E01025799,2.229,10
17460,E01018413,2.236,10
16849,E01017756,2.242,10
27974,E01029485,2.243,10
15851,E01016694,2.246,10
16923,E01017831,2.252,10
28647,E01030195,2.253,10
17547,E01018506,2.254,10
22180,E01023364,2.262,10
22536,E01023734,2.262,10
20704,E01021805,2.265,10
21554,E01022706,2.265,10
28169,E01029685,2.266,10
24476,E01025774,2.272,10
15828,E01016665,2.274,10
20387,E01021466,2.274,10
22759,E01023971,2.279,10
27169,E01028626,2.283,10
21542,E01022694,2.284,10
27148,E01028602,2.284,10
26923,E01028359,2.294,10
16832,E01017739,2.302,10
12412,E01013070,2.307,10
17717,E01018683,2.31,10
29430,E01030998,2.312,10
12435,E01013093,2.313,10
21555,E01022707,2.317,10
30130,E01031735,2.318,10
22035,E01023213,2.319,10
21835,E01023005,2.325,10
2276,E01002388,2.326,10
14158,E01014912,2.333,10
27207,E01028665,2.334,10
15727,E01016559,2.336,10
777,E01000810,2.339,10
21713,E01022878,2.34,10
22313,E01023503,2.343,10
22494,E01023690,2.347,10
13726,E01014454,2.348,10
21016,E01022128,2.352,10
15382,E01016194,2.353,10
20376,E01021455,2.356,10
29315,E01030878,2.358,10
14180,E01014934,2.361,10
17689,E01018653,2.362,10
27319,E01028786,2.367,10
14625,E01015399,2.368,10
22032,E01023210,2.369,10
17073,E01017995,2.371,10
22412,E01023607,2.374,10
27206,E01028664,2.375,10
15821,E01016658,2.376,10
23093,E01024330,2.376,10
15855,E01016700,2.381,10
15796,E01016630,2.39,10
30502,E01032139,2.394,10
21536,E01022687,2.395,10
30044,E01031645,2.399,10
22240,E01023425,2.4,10
5767,E01006085,2.403,10
21623,E01022776,2.408,10
20518,E01021605,2.41,10
19664,E01020712,2.413,10
14030,E01014778,2.413,10
22495,E01023691,2.415,10
9694,E01010214,2.416,10
17110,E01018040,2.417,10
28985,E01030541,2.417,10
15518,E01016338,2.423,10
16939,E01017848,2.423,10
29344,E01030907,2.426,10
28238,E01029758,2.427,10
15714,E01016546,2.429,10
21308,E01022438,2.433,10
24880,E01026198,2.433,10
21691,E01022853,2.439,10
17316,E01018260,2.442,10
14115,E01014869,2.442,10
12313,E01012967,2.443,10
17757,E01018724,2.443,10
16739,E01017638,2.443,10
16938,E01017847,2.444,10
13656,E01014381,2.448,10
28777,E01030329,2.449,10
22031,E01023209,2.449,10
5475,E01005792,2.451,10
2143,E01002253,2.453,10
13682,E01014410,2.455,10
22507,E01023703,2.458,10
14123,E01014877,2.46,10
5606,E01005923,2.461,10
16886,E01017794,2.465,10
14013,E01014759,2.466,10
20386,E01021465,2.469,10
24497,E01025797,2.477,10
20168,E01021239,2.48,10
13663,E01014388,2.483,10
29716,E01031299,2.488,10
26018,E01027403,2.491,10
29212,E01030773,2.496,10
30159,E01031768,2.497,10
22263,E01023449,2.501,10
21364,E01022497,2.503,10
15757,E01016589,2.504,10
16967,E01017876,2.506,10
28256,E01029776,2.509,10
9692,E01010212,2.511,10
10409,E01010946,2.512,10
29216,E01030777,2.513,10
21079,E01022193,2.52,10
16972,E01017882,2.52,10
23695,E01024968,2.525,10
17728,E01018694,2.527,10
15807,E01016643,2.535,10
15791,E01016625,2.542,10
22504,E01023700,2.542,10
23223,E01024470,2.55,10
30141,E01031747,2.554,10
12760,E01013433,2.556,10
15700,E01016532,2.557,10
17436,E01018387,2.56,10
29434,E01031002,2.56,10
24414,E01025709,2.56,10
15758,E01016591,2.561,10
22178,E01023362,2.561,10
29911,E01031502,2.563,10
19138,E01020167,2.565,10
17721,E01018687,2.566,10
12793,E01013466,2.566,10
657,E01000688,2.568,10
12457,E01013116,2.57,10
14230,E01014990,2.575,10
27117,E01028565,2.575,10
15829,E01016666,2.576,10
26967,E01028404,2.579,10
4786,E01005048,2.58,10
26959,E01028396,2.58,10
7913,E01008317,2.58,10
28942,E01030498,2.581,10
21093,E01022208,2.582,10
28880,E01030436,2.586,10
782,E01000815,2.586,10
26486,E01027901,2.589,10
29339,E01030902,2.589,10
21636,E01022790,2.59,10
29039,E01030597,2.591,10
19484,E01020525,2.593,10
15431,E01016246,2.593,10
10233,E01010766,2.593,10
31304,E01033061,2.594,10
28955,E01030511,2.597,10
16835,E01017742,2.603,10
7540,E01007928,2.603,10
29313,E01030876,2.603,10
30165,E01031774,2.604,10
15445,E01016262,2.604,10
22089,E01023268,2.606,10
9654,E01010173,2.609,10
21386,E01022521,2.612,10
25031,E01026358,2.612,10
7543,E01007931,2.613,10
20505,E01021590,2.615,10
16862,E01017769,2.616,10
15832,E01016670,2.618,10
31007,E01032675,2.622,10
22493,E01023689,2.623,10
21026,E01022138,2.623,10
12269,E01012921,2.628,10
15862,E01016707,2.629,10
28984,E01030540,2.631,10
14148,E01014902,2.634,10
28789,E01030341,2.635,10
22622,E01023824,2.635,10
14228,E01014988,2.639,10
30287,E01031907,2.644,10
9633,E01010152,2.646,10
20178,E01021249,2.65,10
650,E01000681,2.655,10
26077,E01027468,2.658,10
24464,E01025761,2.665,10
9665,E01010185,2.665,10
22619,E01023821,2.665,10
3713,E01003891,2.666,10
29209,E01030770,2.666,10
14125,E01014879,2.667,10
26944,E01028381,2.668,10
21083,E01022197,2.671,10
25232,E01026568,2.671,10
9637,E01010156,2.672,10
26331,E01027733,2.672,10
23556,E01024824,2.674,10
15808,E01016644,2.677,10
28798,E01030350,2.682,10
27226,E01028684,2.683,10
26911,E01028347,2.684,10
26078,E01027469,2.686,10
21515,E01022664,2.686,10
28381,E01029903,2.689,10
31503,E01033336,2.693,10
12275,E01012927,2.696,10
16893,E01017801,2.696,10
11074,E01011649,2.697,10
21305,E01022433,2.699,10
30835,E01032486,2.702,10
23194,E01024441,2.702,10
22197,E01023381,2.703,10
15774,E01016607,2.707,10
27295,E01028758,2.713,10
16792,E01017696,2.714,10
29368,E01030931,2.715,10
26222,E01027623,2.715,10
21639,E01022793,2.716,10
9070,E01009563,2.717,10
14680,E01015455,2.721,10
24511,E01025813,2.723,10
21729,E01022895,2.723,10
27216,E01028674,2.728,10
18259,E01019251,2.728,10
22517,E01023714,2.73,10
22754,E01023966,2.735,10
21336,E01022467,2.735,10
22473,E01023668,2.737,10
29359,E01030922,2.738,10
22059,E01023238,2.742,10
17610,E01018572,2.742,10
15528,E01016349,2.743,10
21001,E01022113,2.744,10
13463,E01014181,2.745,10
30039,E01031640,2.746,10
17546,E01018505,2.746,10
19367,E01020402,2.747,10
9685,E01010205,2.748,10
31345,E01033114,2.749,10
30962,E01032623,2.751,10
29673,E01031255,2.756,10
27116,E01028563,2.757,10
15605,E01016430,2.757,10
15729,E01016561,2.758,10
798,E01000833,2.759,10
26713,E01028139,2.767,10
16728,E01017625,2.769,10
22047,E01023226,2.769,10
20368,E01021447,2.771,10
26772,E01028201,2.773,10
12767,E01013440,2.773,10
28745,E01030297,2.774,10
16848,E01017755,2.775,10
28090,E01029606,2.777,10
22266,E01023453,2.786,10
16516,E01017392,2.787,10
24494,E01025794,2.79,10
3913,E01004112,2.793,10
15802,E01016636,2.793,10
14048,E01014798,2.794,10
15943,E01016798,2.795,10
24124,E01025410,2.796,10
16865,E01017773,2.8,10
26921,E01028357,2.802,10
9650,E01010169,2.803,10
28966,E01030522,2.806,10
26208,E01027607,2.807,10
28912,E01030468,2.808,10
22227,E01023412,2.81,10
16497,E01017371,2.812,10
22620,E01023822,2.814,10
24544,E01025846,2.814,10
15799,E01016633,2.815,10
14119,E01014873,2.816,10
19380,E01020415,2.817,10
5564,E01005881,2.817,10
22255,E01023440,2.83,10
26787,E01028216,2.831,10
15970,E01016826,2.833,10
21054,E01022167,2.837,10
5495,E01005812,2.84,10
12778,E01013451,2.84,10
27161,E01028615,2.841,10
5477,E01005794,2.841,10
17317,E01018262,2.844,10
22680,E01023887,2.849,10
25890,E01027270,2.85,10
23216,E01024463,2.852,10
22527,E01023724,2.855,10
24219,E01025510,2.859,10
16737,E01017636,2.86,10
14021,E01014767,2.862,10
15841,E01016684,2.864,10
26269,E01027671,2.864,10
30507,E01032144,2.864,10
30096,E01031699,2.867,10
22419,E01023614,2.868,10
29045,E01030603,2.868,10
27163,E01028617,2.874,10
30154,E01031763,2.875,10
25037,E01026364,2.879,10
5764,E01006082,2.88,10
28644,E01030192,2.883,10
29208,E01030769,2.884,10
15444,E01016261,2.884,10
15472,E01016291,2.885,10
14778,E01015563,2.886,10
29539,E01031111,2.886,10
31620,E01033496,2.889,10
27168,E01028625,2.89,10
28112,E01029628,2.892,10
26893,E01028328,2.893,10
29405,E01030969,2.894,10
31122,E01032828,2.894,10
29782,E01031367,2.899,10
9667,E01010187,2.899,10
26313,E01027715,2.9,10
17399,E01018350,2.901,10
27307,E01028774,2.904,10
12862,E01013539,2.905,10
16956,E01017865,2.905,10
30088,E01031690,2.906,10
21999,E01023175,2.909,10
17314,E01018258,2.913,10
15730,E01016562,2.913,10
23109,E01024348,2.915,10
16955,E01017864,2.916,10
22068,E01023247,2.917,10
13653,E01014376,2.918,10
5607,E01005924,2.921,10
28755,E01030307,2.922,10
27162,E01028616,2.93,10
19348,E01020382,2.931,10
5613,E01005930,2.934,10
22392,E01023586,2.938,10
28587,E01030129,2.939,10
24412,E01025707,2.94,10
26975,E01028412,2.95,10
21057,E01022170,2.954,10
29648,E01031228,2.954,10
28790,E01030342,2.954,10
19353,E01020387,2.957,10
30949,E01032610,2.96,10
17321,E01018267,2.962,10
12702,E01013374,2.965,10
31446,E01033254,2.967,10
22602,E01023803,2.968,10
18785,E01019794,2.968,10
27023,E01028465,2.968,10
16732,E01017629,2.969,10
6828,E01007190,2.97,10
22311,E01023501,2.972,10
27154,E01028608,2.978,10
6892,E01007254,2.982,10
17326,E01018272,2.985,10
13464,E01014182,2.987,10
22012,E01023188,2.989,10
26118,E01027513,2.991,10
29238,E01030799,2.992,10
28904,E01030460,2.993,10
3645,E01003822,2.997,10
16907,E01017815,2.998,10
29381,E01030945,3.0,10
16858,E01017765,3.001,10
30359,E01031984,3.002,10
22283,E01023471,3.005,10
30028,E01031627,3.005,10
28158,E01029674,3.006,10
19035,E01020062,3.006,10
27278,E01028740,3.011,10
24416,E01025711,3.014,10
15088,E01015885,3.015,10
21704,E01022868,3.017,10
15850,E01016693,3.019,10
23099,E01024337,3.024,10
24886,E01026204,3.024,10
22270,E01023457,3.027,10
25468,E01026815,3.028,10
9673,E01010193,3.031,10
15374,E01016183,3.031,10
29249,E01030810,3.032,10
29360,E01030923,3.035,10
22462,E01023657,3.036,10
20514,E01021600,3.038,10
15834,E01016672,3.042,10
17018,E01017930,3.043,10
734,E01000766,3.044,10
14220,E01014979,3.047,10
17693,E01018658,3.051,10
15804,E01016638,3.055,10
28814,E01030367,3.056,10
21594,E01022746,3.059,10
11672,E01012298,3.062,10
29722,E01031305,3.063,10
22286,E01023474,3.066,10
20380,E01021459,3.067,10
18887,E01019905,3.067,10
8134,E01008549,3.068,10
25466,E01026813,3.073,10
17297,E01018239,3.074,10
27250,E01028709,3.075,10
29129,E01030689,3.076,10
17637,E01018600,3.076,10
28744,E01030296,3.076,10
27159,E01028613,3.078,10
11119,E01011702,3.078,10
22452,E01023647,3.079,10
27476,E01028953,3.079,10
23487,E01024748,3.082,10
17678,E01018642,3.082,10
20563,E01021653,3.082,10
22623,E01023825,3.082,10
8084,E01008497,3.083,10
21292,E01022417,3.084,10
26710,E01028136,3.086,10
26314,E01027716,3.086,10
29245,E01030806,3.088,10
13732,E01014460,3.091,10
3907,E01004106,3.091,10
27336,E01028804,3.092,10
21298,E01022426,3.093,10
28886,E01030442,3.093,10
23533,E01024800,3.093,10
23196,E01024443,3.095,10
29307,E01030870,3.095,10
21541,E01022693,3.1,10
2814,E01002959,3.101,10
26663,E01028089,3.103,10
28852,E01030407,3.104,10
27998,E01029511,3.106,10
15731,E01016563,3.109,10
21244,E01022367,3.11,10
17485,E01018438,3.112,10
2368,E01002482,3.114,10
26200,E01027598,3.115,10
27273,E01028734,3.116,10
21271,E01022395,3.116,10
24488,E01025787,3.116,10
19340,E01020374,3.118,10
22612,E01023814,3.119,10
20813,E01021918,3.12,10
21392,E01022528,3.12,10
17712,E01018678,3.121,10
21760,E01022928,3.123,10
16773,E01017675,3.123,10
27145,E01028599,3.123,10
17185,E01018121,3.124,10
22265,E01023452,3.124,10
17419,E01018370,3.125,10
21514,E01022663,3.127,10
12316,E01012970,3.128,10
22825,E01024046,3.133,10
15562,E01016387,3.136,10
24581,E01025885,3.137,10
30501,E01032138,3.137,10
14143,E01014897,3.138,10
24474,E01025772,3.143,10
31502,E01033334,3.152,10
30022,E01031621,3.155,10
21034,E01022146,3.158,10
2278,E01002390,3.16,10
2863,E01003008,3.164,10
20363,E01021442,3.165,10
15498,E01016318,3.168,10
431,E01000448,3.171,10
14624,E01015398,3.171,10
15771,E01016604,3.172,10
26789,E01028218,3.174,10
15523,E01016343,3.175,10
28881,E01030437,3.178,10
18394,E01019393,3.179,10
17517,E01018475,3.18,10
27212,E01028670,3.181,10
2081,E01002188,3.181,10
26770,E01028199,3.183,10
16962,E01017871,3.184,10
31619,E01033495,3.185,10
