LSOA code (2011),Total population: mid 2015 (excluding prisoners)
E01000322,1844.00
E01000323,2269.00
E01000324,1895.00
E01000325,1630.00
E01000326,1326.00
E01000327,1590.00
E01000328,1506.00
E01000329,1479.00
E01000330,1618.00
E01000331,1611.00
E01000332,1631.00
E01000333,1836.00
E01000334,1636.00
E01000335,2225.00
E01000336,2062.00
E01000337,1743.00
E01000338,1979.00
E01000339,1561.00
E01000340,1524.00
E01000341,1561.00
E01000342,1621.00
E01000343,1587.00
E01000344,1559.00
E01000345,1351.00
E01000346,1685.00
E01000347,1482.00
E01000348,1520.00
E01000349,1654.00
E01000350,1514.00
E01000351,1614.00
E01000352,1697.00
E01000353,1691.00
E01000354,1510.00
E01000355,1630.00
E01000356,1654.00
E01000357,1467.00
E01000358,1683.00
E01000359,1290.00
E01000360,1715.00
E01000361,1609.00
E01000362,1598.00
E01000363,1516.00
E01000364,1607.00
E01000365,1772.00
E01000366,1693.00
E01000367,1739.00
E01000368,1583.00
E01000369,1639.00
E01000370,1628.00
E01000371,1632.00
E01000372,1661.00
E01000373,614.00
E01000374,1610.00
E01000375,1898.00
E01000376,1595.00
E01000377,1502.00
E01000378,2720.00
E01000379,1775.00
E01000380,1708.00
E01000381,1683.00
E01000382,1567.00
E01000383,1507.00
E01000384,1745.00
E01000385,1979.00
E01000386,1537.00
E01000387,1582.00
E01000388,1523.00
E01000389,1759.00
E01000390,1282.00
E01000391,1722.00
E01000392,1877.00
E01000393,1668.00
E01000394,1545.00
E01000395,1446.00
E01000396,1402.00
E01000398,1610.00
E01000399,1609.00
E01000400,1584.00
E01000401,1864.00
E01000402,1548.00
E01000403,2194.00
E01000404,2424.00
E01000405,1463.00
E01000406,1675.00
E01000407,1563.00
E01000408,1804.00
E01000409,1698.00
E01000410,1654.00
E01000411,1428.00
E01000412,1828.00
E01000413,1370.00
E01000414,1817.00
E01000415,1488.00
E01000416,1654.00
E01000417,1764.00
E01000418,2038.00
E01000419,1338.00
E01000420,1576.00
E01000421,1519.00
E01000422,1893.00
E01000423,1702.00
E01000424,1690.00
E01000425,1767.00
E01000426,1656.00
E01000427,2189.00
E01000428,1619.00
E01000429,1656.00
E01000430,2058.00
E01000431,1848.00
E01000432,1813.00
E01000433,1980.00
E01000434,1675.00
E01000435,1407.00
E01000436,1733.00
E01000437,1363.00
E01000438,1713.00
E01000439,1440.00
E01000440,1438.00
E01000441,1644.00
E01000442,1637.00
E01000443,1278.00
E01000444,1696.00
E01000445,1659.00
E01000446,1562.00
E01000447,1789.00
E01000448,1372.00
E01000449,1495.00
E01000450,1865.00
E01000451,1736.00
E01000452,1442.00
E01000453,1507.00
E01000454,1616.00
E01000455,1765.00
E01000456,1492.00
E01000457,2024.00
E01000458,1431.00
E01000459,1847.00
E01000460,1291.00
E01000461,1620.00
E01000462,1734.00
E01000463,1297.00
E01000464,1569.00
E01000465,1699.00
E01000466,1810.00
E01000467,1864.00
E01000468,3085.00
E01000469,1817.00
E01000470,1365.00
E01000471,1586.00
E01000472,1584.00
E01000473,2356.00
E01000474,2234.00
E01000475,2124.00
E01000476,1780.00
E01000477,2251.00
E01000478,1787.00
E01000479,1646.00
E01000480,1789.00
E01000481,1528.00
E01000482,3007.00
E01000483,1853.00
E01000484,1541.00
E01000485,1400.00
E01000486,1643.00
E01000487,1952.00
E01000488,1608.00
E01000489,1493.00
E01000490,1706.00
E01000491,2038.00
E01000492,1337.00
E01000493,1610.00
E01000494,1692.00
E01000495,1615.00
E01000497,1636.00
E01000498,1660.00
E01000499,1669.00
E01000501,1853.00
E01000502,1715.00
E01000503,2018.00
E01000504,1727.00
E01000505,1732.00
E01000506,1855.00
E01000507,1627.00
E01000508,2165.00
E01000509,1518.00
E01000510,1718.00
E01000511,1606.00
E01000512,1856.00
E01000513,1630.00
E01000514,1538.00
E01000515,1875.00
E01000516,1670.00
E01000517,1581.00
E01000518,1668.00
E01000519,1948.00
E01000520,1728.00
E01000521,2322.00
E01000522,1933.00
E01000523,2573.00
E01000524,2750.00
E01000525,2057.00
E01000526,2277.00
E01000527,2144.00
E01000528,1551.00
E01000530,1792.00
E01000531,2150.00
E01000532,1713.00
E01000533,2262.00
E01000534,1695.00
E01000535,2246.00
E01000536,1627.00
E01000538,1478.00
E01000539,1582.00
E01000540,1410.00
E01000541,1427.00
E01000543,1546.00
E01000544,1540.00
E01000545,1813.00
E01000546,1675.00
E01000547,1761.00
E01000548,2151.00
E01000549,1956.00
E01000550,1781.00
E01000551,2452.00
E01000552,1678.00
E01000553,2269.00
E01000554,1947.00
E01000555,1598.00
E01000556,2153.00
E01000557,1870.00
E01000558,1544.00
E01000559,1510.00
E01000560,1677.00
E01000561,1809.00
E01000562,1488.00
E01000563,1414.00
E01000564,1663.00
E01000565,1615.00
E01000566,1520.00
E01000567,1357.00
E01000568,3024.00
E01000569,1471.00
E01000570,1684.00
E01000571,1768.00
E01000572,1496.00
E01000573,1632.00
E01000574,1387.00
E01000575,2010.00
E01000576,1696.00
E01000577,2376.00
E01000578,2004.00
E01000579,1562.00
E01000580,1977.00
E01000581,1503.00
E01000582,1744.00
E01000583,2182.00
E01000584,1642.00
E01000585,1808.00
E01000586,2661.00
E01000587,1668.00
E01000588,2105.00
E01000589,2069.00
E01000590,1793.00
E01000591,2191.00
E01000592,1601.00
E01000593,2186.00
E01000594,1717.00
E01000595,1674.00
E01000596,1779.00
E01000599,1179.00
E01000600,2736.00
E01000601,1413.00
E01000602,1511.00
E01000603,1525.00
E01000604,1730.00
E01000605,1610.00
E01000606,1786.00
E01000607,2282.00
E01000608,2420.00
E01000609,2087.00
E01000610,2151.00
E01000611,1374.00
E01000612,1554.00
E01000613,1829.00
E01000615,1929.00
E01000616,1772.00
E01000617,1882.00
E01000618,1516.00
E01000619,1548.00
E01000620,1705.00
E01000621,1768.00
E01000622,1768.00
E01000623,1739.00
E01000624,1710.00
E01000625,1576.00
E01000626,1526.00
E01000627,2184.00
E01000628,1957.00
E01000629,1932.00
E01000630,2582.00
E01000631,2084.00
E01000632,2356.00
E01000633,2250.00
E01000634,2685.00
E01000635,2746.00
E01000636,2089.00
E01000637,1655.00
E01000638,2171.00
E01000639,1801.00
E01000640,2541.00
E01000641,2088.00
E01000642,2238.00
E01000643,2293.00
E01000644,1947.00
E01000645,1443.00
E01000646,1668.00
E01000647,1628.00
E01000648,1829.00
E01000649,1988.00
E01000650,1995.00
E01000651,1693.00
E01000652,1583.00
E01000653,1537.00
E01000654,1293.00
E01000655,1388.00
E01000656,1407.00
E01000657,1529.00
E01000658,1285.00
E01000659,1435.00
E01000661,2378.00
E01000662,1760.00
E01000663,1739.00
E01000664,1680.00
E01000665,1877.00
E01000666,1848.00
E01000667,1639.00
E01000668,1922.00
E01000669,1692.00
E01000670,2108.00
E01000671,2205.00
E01000672,1645.00
E01000673,1618.00
E01000674,1671.00
E01000675,1819.00
E01000676,1969.00
E01000677,1911.00
E01000678,1882.00
E01000679,1734.00
E01000680,1628.00
E01000681,1739.00
E01000682,1599.00
E01000683,1619.00
E01000684,2157.00
E01000685,1550.00
E01000686,1558.00
E01000687,1637.00
E01000688,1420.00
E01000689,1515.00
E01000690,1449.00
E01000691,1590.00
E01000692,1619.00
E01000693,1545.00
E01000694,2159.00
E01000695,1593.00
E01000696,1566.00
E01000697,1740.00
E01000698,1112.00
E01000699,1543.00
E01000700,1558.00
E01000701,1385.00
E01000702,1309.00
E01000703,1737.00
E01000704,1485.00
E01000705,1381.00
E01000706,1338.00
E01000707,1546.00
E01000708,1641.00
E01000709,1343.00
E01000710,1798.00
E01000711,1959.00
E01000712,1723.00
E01000713,1731.00
E01000714,2228.00
E01000715,1756.00
E01000716,1644.00
E01000717,1701.00
E01000718,2299.00
E01000719,2097.00
E01000720,1790.00
E01000721,1499.00
E01000722,1778.00
E01000723,1209.00
E01000724,1896.00
E01000725,1728.00
E01000726,1279.00
E01000727,1694.00
E01000728,1624.00
E01000729,1890.00
E01000730,1784.00
E01000731,1428.00
E01000732,1530.00
E01000733,1648.00
E01000734,1427.00
E01000735,1553.00
E01000736,1661.00
E01000737,1405.00
E01000738,1522.00
E01000739,1672.00
E01000740,2054.00
E01000741,1836.00
E01000742,2178.00
E01000743,1919.00
E01000744,1578.00
E01000745,1889.00
E01000746,2034.00
E01000747,1919.00
E01000748,1629.00
E01000749,1708.00
E01000750,1533.00
E01000751,2029.00
E01000752,1717.00
E01000753,1874.00
E01000754,1713.00
E01000755,1510.00
E01000756,1621.00
E01000757,1504.00
E01000758,1491.00
E01000759,1568.00
E01000760,1548.00
E01000761,1594.00
E01000762,1657.00
E01000763,1464.00
E01000764,1690.00
E01000765,1755.00
E01000766,1784.00
E01000767,1637.00
E01000768,1540.00
E01000769,1467.00
E01000770,1487.00
E01000771,1692.00
E01000772,1574.00
E01000773,1598.00
E01000774,1471.00
E01000775,2359.00
E01000777,1615.00
E01000778,1661.00
E01000779,1329.00
E01000780,1643.00
E01000781,1478.00
E01000782,1510.00
E01000783,1730.00
E01000784,1604.00
E01000785,1526.00
E01000786,1430.00
E01000787,1466.00
E01000788,1515.00
E01000789,1975.00
E01000790,2230.00
E01000791,1446.00
E01000792,1426.00
E01000793,1509.00
E01000794,1578.00
E01000795,1419.00
E01000796,1695.00
E01000797,1629.00
E01000798,1548.00
E01000799,1801.00
E01000800,1692.00
E01000801,1603.00
E01000802,1739.00
E01000803,1619.00
E01000804,1545.00
E01000805,1798.00
E01000806,1924.00
E01000807,1564.00
E01000808,1575.00
E01000809,1517.00
E01000810,1521.00
E01000811,1348.00
E01000812,1545.00
E01000813,1664.00
E01000814,1464.00
E01000815,1564.00
E01000816,1473.00
E01000818,1517.00
E01000819,1732.00
E01000820,1511.00
E01000822,1705.00
E01000823,1686.00
E01000824,1247.00
E01000825,1687.00
E01000826,1639.00
E01000827,1844.00
E01000828,1762.00
E01000829,1838.00
E01000830,1533.00
E01000831,1672.00
E01000832,1515.00
E01000833,1489.00
E01000834,1372.00
E01000835,1732.00
E01000836,1436.00
E01000837,1584.00
E01000838,1486.00
E01000839,1463.00
E01000840,1544.00
E01000841,1609.00
E01000842,1668.00
E01000843,1923.00
E01000844,1904.00
E01000845,1714.00
E01000846,1643.00
E01000847,1875.00
E01000848,1841.00
E01000849,1824.00
E01000850,1930.00
E01000851,2657.00
E01000852,1862.00
E01000853,1708.00
E01000854,1798.00
E01000855,1738.00
E01000856,1812.00
E01000857,1535.00
E01000858,2055.00
E01000859,1694.00
E01000860,1428.00
E01000861,1572.00
E01000862,1641.00
E01000863,1668.00
E01000864,1702.00
E01000865,1947.00
E01000866,2256.00
E01000867,1800.00
E01000868,1513.00
E01000869,2292.00
E01000870,1846.00
E01000871,1851.00
E01000872,2155.00
E01000873,1735.00
E01000874,1743.00
E01000875,1834.00
E01000876,1979.00
E01000877,1708.00
E01000878,2368.00
E01000879,1478.00
E01000880,1637.00
E01000881,1675.00
E01000882,1788.00
E01000883,1573.00
E01000884,1607.00
E01000885,1510.00
E01000886,1691.00
E01000887,1606.00
E01000888,1764.00
E01000889,1887.00
E01000890,1840.00
E01000891,1792.00
E01000892,2093.00
E01000893,1618.00
E01000894,1490.00
E01000895,1791.00
E01000896,1888.00
E01000897,1738.00
E01000898,2072.00
E01000899,1941.00
E01000900,1985.00
E01000901,2351.00
E01000902,1739.00
E01000903,1651.00
E01000904,2458.00
E01000905,2219.00
E01000906,1597.00
E01000907,1548.00
E01000908,1732.00
E01000909,1741.00
E01000910,1653.00
E01000911,1726.00
E01000912,1791.00
E01000913,1850.00
E01000914,2013.00
E01000915,1653.00
E01000916,2228.00
E01000917,2067.00
E01000918,2198.00
E01000919,2176.00
E01000920,2107.00
E01000921,2287.00
E01000922,1829.00
E01000923,1630.00
E01000924,1753.00
E01000925,1730.00
E01000926,1885.00
E01000927,1918.00
E01000928,1815.00
E01000929,2006.00
E01000930,2177.00
E01000931,2217.00
E01000932,1780.00
E01000933,1911.00
E01000934,1835.00
E01000935,1547.00
E01000936,1835.00
E01000937,1626.00
E01000938,1949.00
E01000939,1376.00
E01000940,1354.00
E01000941,1283.00
E01000942,1905.00
E01000943,907.00
E01000944,2042.00
E01000945,1548.00
E01000946,1923.00
E01000947,1978.00
E01000948,1861.00
E01000949,1746.00
E01000950,1450.00
E01000951,1612.00
E01000952,1819.00
E01000953,2783.00
E01000954,1882.00
E01000955,1642.00
E01000956,1834.00
E01000957,1645.00
E01000958,2852.00
E01000959,1661.00
E01000960,1979.00
E01000961,1855.00
E01000962,1760.00
E01000963,2235.00
E01000964,1712.00
E01000965,1733.00
E01000966,1549.00
E01000967,1552.00
E01000968,1489.00
E01000969,2189.00
E01000970,1628.00
E01000971,1593.00
E01000972,2265.00
E01000973,2280.00
E01000974,2004.00
E01000975,1608.00
E01000976,2055.00
E01000977,1675.00
E01000978,1795.00
E01000979,1766.00
E01000980,1257.00
E01000981,1768.00
E01000982,1656.00
E01000983,1704.00
E01000984,1858.00
E01000985,1460.00
E01000986,1734.00
E01000987,1487.00
E01000989,1713.00
E01000990,1491.00
E01000991,1644.00
E01000992,2017.00
E01000993,1702.00
E01000994,1510.00
E01000995,1779.00
E01000996,1211.00
E01000997,1365.00
E01000998,1560.00
E01000999,1269.00
E01001000,1341.00
E01001001,1252.00
E01001002,1419.00
E01001003,1685.00
E01001004,2229.00
E01001005,1629.00
E01001006,1597.00
E01001007,2063.00
E01001008,1739.00
E01001009,1957.00
E01001010,1631.00
E01001011,2106.00
E01001012,2014.00
E01001013,2106.00
E01001014,3782.00
E01001015,1534.00
E01001016,1770.00
E01001017,1654.00
E01001018,1579.00
E01001019,1560.00
E01001020,1668.00
E01001021,1405.00
E01001022,1486.00
E01001023,1368.00
E01001024,1380.00
E01001025,1296.00
E01001026,1893.00
E01001027,1618.00
E01001028,1555.00
E01001029,1697.00
E01001030,1408.00
E01001031,1467.00
E01001032,1475.00
E01001033,1746.00
E01001034,1638.00
E01001035,1873.00
E01001036,1548.00
E01001037,1346.00
E01001038,1924.00
E01001039,1507.00
E01001040,1855.00
E01001041,1642.00
E01001042,2046.00
E01001043,2925.00
E01001044,1943.00
E01001045,2169.00
E01001046,1764.00
E01001047,1792.00
E01001048,2484.00
E01001049,1529.00
E01001050,1692.00
E01001051,1576.00
E01001052,1402.00
E01001053,1581.00
E01001054,1691.00
E01001055,1576.00
E01001056,1910.00
E01001057,1916.00
E01001058,1326.00
E01001059,1446.00
E01001060,1647.00
E01001061,1570.00
E01001062,1492.00
E01001063,1557.00
E01001064,1600.00
E01001065,1378.00
E01001066,1417.00
E01001067,1746.00
E01001068,1921.00
E01001069,1361.00
E01001070,1834.00
E01001071,2027.00
E01001072,1473.00
E01001073,1478.00
E01001074,2129.00
E01001075,1648.00
E01001076,1736.00
E01001077,1371.00
E01001078,1524.00
E01001079,1786.00
E01001080,1660.00
E01001081,1461.00
E01001082,1580.00
E01001083,1648.00
E01001084,1878.00
E01001085,1748.00
E01001086,1732.00
E01001087,2506.00
E01001088,1805.00
E01001089,2010.00
E01001090,2409.00
E01001091,1674.00
E01001092,1841.00
E01001093,1828.00
E01001094,1539.00
E01001095,1507.00
E01001096,1473.00
E01001097,2456.00
E01001098,1499.00
E01001099,1507.00
E01001100,1494.00
E01001101,1363.00
E01001102,1567.00
E01001103,1685.00
E01001104,1708.00
E01001105,1749.00
E01001106,1562.00
E01001107,1690.00
E01001108,1809.00
E01001109,2175.00
E01001110,1928.00
E01001111,1663.00
E01001112,1943.00
E01001113,1867.00
E01001114,1446.00
E01001115,1662.00
E01001116,1347.00
E01001117,3253.00
E01001118,1892.00
E01001119,1438.00
E01001120,1298.00
E01001121,1348.00
E01001122,1562.00
E01001123,1550.00
E01001124,1569.00
E01001125,1685.00
E01001126,1419.00
E01001127,1551.00
E01001128,1641.00
E01001129,1410.00
E01001130,1847.00
E01001131,1643.00
E01001132,1487.00
E01001133,1527.00
E01001134,1658.00
E01001135,1748.00
E01001136,2107.00
E01001137,2005.00
E01001138,1569.00
E01001139,1662.00
E01001140,1696.00
E01001141,1332.00
E01001142,1806.00
E01001143,2082.00
E01001144,1646.00
E01001145,1902.00
E01001146,1620.00
E01001147,1772.00
E01001148,1666.00
E01001149,1572.00
E01001150,1794.00
E01001151,1756.00
E01001152,1788.00
E01001153,1540.00
E01001154,2023.00
E01001155,1767.00
E01001156,1749.00
E01001157,1717.00
E01001158,1714.00
E01001159,1943.00
E01001160,1991.00
E01001161,1802.00
E01001162,1849.00
E01001163,2066.00
E01001164,2184.00
E01001165,1741.00
E01001166,2001.00
E01001167,2161.00
E01001168,1845.00
E01001169,1724.00
E01001170,2130.00
E01001171,1866.00
E01001172,2124.00
E01001173,2806.00
E01001174,1606.00
E01001175,1644.00
E01001176,1953.00
E01001177,1654.00
E01001178,1408.00
E01001179,1591.00
E01001180,1840.00
E01001181,2095.00
E01001182,1391.00
E01001183,1780.00
E01001184,1309.00
E01001185,1648.00
E01001186,1828.00
E01001187,2131.00
E01001188,1965.00
E01001189,1236.00
E01001190,1596.00
E01001191,1950.00
E01001192,1787.00
E01001193,1766.00
E01001194,1663.00
E01001195,1850.00
E01001196,1783.00
E01001197,1829.00
E01001198,1569.00
E01001199,1809.00
E01001200,1548.00
E01001201,1658.00
E01001202,2311.00
E01001203,1727.00
E01001204,1540.00
E01001205,1524.00
E01001206,1459.00
E01001207,1637.00
E01001208,1328.00
E01001209,1636.00
E01001210,1633.00
E01001211,1692.00
E01001212,1765.00
E01001213,1933.00
E01001214,1791.00
E01001215,1906.00
E01001216,1643.00
E01001217,1511.00
E01001218,1909.00
E01001219,1966.00
E01001220,1347.00
E01001221,2300.00
E01001222,2527.00
E01001223,1471.00
E01001224,1588.00
E01001225,1702.00
E01001226,1448.00
E01001227,1496.00
E01001228,1794.00
E01001229,1499.00
E01001230,1411.00
E01001231,1859.00
E01001232,1459.00
E01001233,1355.00
E01001234,1408.00
E01001235,1629.00
E01001236,1493.00
E01001237,1520.00
E01001238,3636.00
E01001239,1555.00
E01001240,1646.00
E01001241,1572.00
E01001242,1512.00
E01001243,2192.00
E01001244,2770.00
E01001245,2007.00
E01001246,1468.00
E01001247,2445.00
E01001248,1497.00
E01001249,2215.00
E01001250,2046.00
E01001251,1658.00
E01001252,2136.00
E01001253,1828.00
E01001254,1675.00
E01001255,1591.00
E01001257,1907.00
E01001258,1664.00
E01001259,1460.00
E01001260,1912.00
E01001261,2244.00
E01001262,1586.00
E01001263,1612.00
E01001264,1660.00
E01001265,1791.00
E01001266,1849.00
E01001267,1992.00
E01001268,1720.00
E01001269,2049.00
E01001270,1682.00
E01001271,1932.00
E01001272,1641.00
E01001273,1693.00
E01001274,1726.00
E01001275,1891.00
E01001276,1852.00
E01001277,1969.00
E01001278,1933.00
E01001279,1448.00
E01001280,1828.00
E01001281,1592.00
E01001282,1433.00
E01001283,1492.00
E01001284,1513.00
E01001285,1767.00
E01001286,1574.00
E01001287,1470.00
E01001288,1437.00
E01001289,1318.00
E01001290,1919.00
E01001291,1559.00
E01001292,1631.00
E01001293,1585.00
E01001294,1885.00
E01001295,1767.00
E01001296,1411.00
E01001297,1749.00
E01001298,1862.00
E01001299,1740.00
E01001300,1635.00
E01001301,1703.00
E01001302,1606.00
E01001303,1644.00
E01001304,1618.00
E01001305,1633.00
E01001306,1646.00
E01001307,1913.00
E01001308,2018.00
E01001309,1828.00
E01001310,1834.00
E01001311,2069.00
E01001312,1865.00
E01001313,1696.00
E01001314,1573.00
E01001315,1448.00
E01001316,1553.00
E01001317,1888.00
E01001318,1721.00
E01001319,1467.00
E01001320,1526.00
E01001321,2080.00
E01001322,1831.00
E01001323,1776.00
E01001324,1767.00
E01001325,1739.00
E01001326,1783.00
E01001327,1833.00
E01001328,1800.00
E01001329,1830.00
E01001330,1722.00
E01001331,1630.00
E01001332,1499.00
E01001333,2163.00
E01001334,1569.00
E01001335,1771.00
E01001336,1603.00
E01001337,1534.00
E01001338,1878.00
E01001339,1467.00
E01001340,1862.00
E01001341,1765.00
E01001342,1967.00
E01001343,1477.00
E01001344,2316.00
E01001345,1822.00
E01001346,1844.00
E01001347,1632.00
E01001348,1655.00
E01001349,1406.00
E01001350,1457.00
E01001351,1999.00
E01001352,1548.00
E01001353,1542.00
E01001354,2029.00
E01001355,1740.00
E01001356,1958.00
E01001357,1600.00
E01001358,1071.00
E01001359,2297.00
E01001360,2021.00
E01001361,2097.00
E01001362,2137.00
E01001363,1779.00
E01001364,1678.00
E01001365,2279.00
E01001366,1984.00
E01001367,2133.00
E01001368,1797.00
E01001369,2007.00
E01001370,2029.00
E01001371,2326.00
E01001372,2005.00
E01001373,1789.00
E01001374,1862.00
E01001375,1680.00
E01001376,1562.00
E01001377,1722.00
E01001379,1597.00
E01001380,1831.00
E01001381,1861.00
E01001382,1495.00
E01001383,1680.00
E01001384,1669.00
E01001385,1681.00
E01001386,1736.00
E01001387,1592.00
E01001388,1500.00
E01001389,1730.00
E01001390,2096.00
E01001391,1876.00
E01001392,1929.00
E01001393,2180.00
E01001394,1806.00
E01001395,1659.00
E01001396,1532.00
E01001397,2239.00
E01001398,1375.00
E01001399,1481.00
E01001400,1624.00
E01001401,1375.00
E01001402,1970.00
E01001403,1711.00
E01001404,1580.00
E01001405,1865.00
E01001406,1635.00
E01001407,1690.00
E01001408,1713.00
E01001409,1995.00
E01001410,1684.00
E01001411,1905.00
E01001412,1784.00
E01001413,1633.00
E01001414,1576.00
